date,Original,Corrected,Updates,7d Rolling,dead
2021-05-09,1,1,1,,
2021-05-10,4,4,1,,
2021-05-11,7,7,1,,
2021-05-12,16,16,1,36.57142857142857,
2021-05-13,13,13,1,77.0,
2021-05-14,29,30,2,152.85714285714286,
2021-05-15,180,185,2,217.0,
2021-05-16,206,284,8,290.0,
2021-05-17,333,535,9,355.85714285714283,0.0
2021-05-18,240,456,10,413.2857142857143,2.0
2021-05-19,267,527,9,454.42857142857144,0.0
2021-05-20,286,474,9,484.0,1.0
2021-05-21,312,432,10,479.2857142857143,0.0
2021-05-22,321,473,10,485.42857142857144,2.0
2021-05-23,287,491,11,486.14285714285717,6.0
2021-05-24,334,502,10,494.0,6.0
2021-05-25,281,499,9,491.57142857142856,6.0
2021-05-26,302,532,8,483.2857142857143,11.0
2021-05-27,401,529,9,473.85714285714283,13.0
2021-05-28,297,415,8,458.57142857142856,19.0
2021-05-29,320,415,8,434.7142857142857,21.0
2021-05-30,266,425,6,428.42857142857144,10.0
2021-05-31,274,395,7,412.2857142857143,15.0
2021-06-01,262,332,5,402.2857142857143,13.0
2021-06-02,372,488,4,411.0,12.0
2021-06-03,364,416,4,398.14285714285717,17.0
2021-06-04,339,345,2,371.85714285714283,21.0
2021-06-05,476,476,1,355.7142857142857,37.0
2021-06-06,335,335,1,325.14285714285717,36.0
2021-06-07,211,211,1,303.2857142857143,26.0
2021-06-08,219,219,1,294.85714285714283,22.0
2021-06-09,274,274,1,262.57142857142856,25.0
2021-06-10,263,263,1,239.57142857142858,28.0
2021-06-11,286,286,1,235.85714285714286,24.0
2021-06-12,250,250,1,223.42857142857142,26.0
2021-06-13,174,174,1,208.14285714285714,26.0
2021-06-14,185,185,1,195.57142857142858,15.0
2021-06-15,132,132,1,181.42857142857142,8.0
2021-06-16,167,167,1,163.85714285714286,18.0
2021-06-17,175,175,1,154.28571428571428,19.0
2021-06-18,187,187,1,138.57142857142858,21.0
2021-06-19,127,127,1,130.85714285714286,20.0
2021-06-20,107,107,1,121.85714285714286,11.0
2021-06-21,75,75,1,115.28571428571429,20.0
2021-06-22,78,78,1,99.42857142857143,6.0
2021-06-23,104,104,1,92.42857142857143,24.0
2021-06-24,129,129,1,89.71428571428571,6.0
2021-06-25,76,76,1,87.57142857142857,5.0
2021-06-26,78,78,1,84.14285714285714,13.0
2021-06-27,88,88,1,77.14285714285714,9.0
2021-06-28,60,60,1,65.42857142857143,3.0
2021-06-29,54,54,1,62.714285714285715,8.0
2021-06-30,55,55,1,62.42857142857143,5.0
2021-07-01,47,47,1,55.142857142857146,13.0
2021-07-02,57,57,1,50.57142857142857,15.0
2021-07-03,76,76,1,46.714285714285715,10.0
2021-07-04,37,37,1,44.42857142857143,2.0
2021-07-05,28,28,1,40.285714285714285,1.0
2021-07-06,27,27,1,36.714285714285715,17.0
2021-07-07,39,39,1,,9.0
2021-07-08,18,18,1,,3.0
2021-07-09,32,32,1,,12.0
